Predicted; Actual
31.0056;12.9000
32.9598;40.5000
30.8556;46.2000
27.0279;29.4000
26.7740;31.7000
20.4437;18.3000
23.2187;22.7000
24.5175;23.2000
18.8332;16.1000
21.2532;19.4000
22.6400;9.0000
20.3880;21.1000
17.1894;17.9000
23.4973;30.9000
22.5209;26.6000
23.6127;23.3000
21.6215;27.9000
21.4000;19.9000
20.3352;29.9000
23.3501;20.7000
20.5668;16.7000
27.0245;30.7000
20.3352;14.3000
24.6813;34.1000
23.5106;26.3000
28.3228;23.0000
23.5742;23.4000
24.4365;19.5000
21.9273;28.3000
23.1709;25.7000
29.2627;31.0000
26.9406;37.4000
25.4630;24.9000
27.7132;31.2000
28.5748;30.1000
30.4062;18.6000
29.2364;30.9000
31.0411;29.8000
28.5748;31.2000
29.3951;34.7000
28.6965;28.7000
28.7439;27.9000
30.1099;29.9000
28.5137;30.4000
27.7091;31.2000
28.9352;32.9000
26.9544;27.4000
26.8957;34.7000
29.3115;34.2000
29.5620;32.0000
29.5638;37.4000
29.4395;29.9000
29.3390;31.2000
27.2359;26.6000
29.8649;30.2000
27.2340;26.8000
28.1182;31.9000
28.3740;34.4000
28.4602;30.6000
27.3131;24.5000
27.3256;29.9000
27.3256;29.7000
27.6838;28.4000
27.7362;20.1000
25.4184;40.8000
26.8652;31.6000
18.2386;16.3000
32.4910;37.4000
17.0547;11.4000
19.3698;8.7000
22.6660;19.2000
19.6707;30.9000
31.8654;26.2000
19.3119;9.7000
20.5360;1.0000
26.0735;0.5000
27.7536;34.0000
23.3967;25.2000
30.6919;33.6000
22.2532;25.1000
32.7685;18.0000
31.7124;27.8000
32.4654;49.0000
27.3308;30.0000
33.5975;39.6000
25.1823;34.9000
33.0767;13.8000
34.0541;40.3000
26.2858;30.4000
33.3483;32.7000
25.9797;16.9000
33.5608;28.0000
31.8541;40.1000
29.4033;38.5000
33.1124;36.9000
28.6596;34.4000
33.4108;33.4000
29.3740;30.8000
33.3321;46.1000
32.7041;28.1000
32.9791;45.3000
34.1187;29.1000
33.2957;33.4000
32.4397;29.4000
32.6348;27.4000
33.7709;30.9000
35.3235;46.0000
34.0676;31.8000
33.4156;27.0000
33.1112;28.3000
33.6253;28.9000
33.2694;39.5000
32.5976;29.7000
34.3953;24.5000
33.6738;45.7000
34.0984;36.4000
33.7776;33.6000
33.5316;39.3000
33.4697;48.4000
33.6608;46.5000
32.5222;27.2000
33.0163;30.1000
32.9807;28.5000
32.4616;28.3000
34.1875;37.6000
33.2147;31.2000
32.5655;26.0000
32.8004;37.9000
33.1880;27.4000
23.5489;26.9000
25.1710;17.7000
32.5129;29.4000
29.9001;32.3000
27.1838;36.2000
32.0299;33.4000
29.3628;30.6000
29.1200;37.3000
24.8697;27.1000
26.8093;45.0000
26.5576;23.3000
29.8744;28.8000
26.6460;36.5000
25.0965;23.2000
26.7461;28.7000
23.6658;14.2000
29.0066;39.9000
29.1755;27.1000
29.3238;37.1000
27.3210;27.7000
32.1545;26.8000
28.1094;32.3000
26.9984;30.2000
29.2103;24.2000
29.0147;56.0000
26.4676;30.8000
22.4469;34.9000
28.6386;37.3000
27.5999;26.0000
30.3897;16.8000
28.8191;9.0000
26.9087;21.0000
27.2701;30.3000
25.8238;24.7000
32.0606;5.0000
29.5113;5.8000
33.1604;40.6000
26.0693;33.1000
27.9793;39.1000
28.3340;26.4000
30.3882;33.2000
27.5838;36.7000
25.7533;26.4000
27.5284;28.4000
24.2736;19.8000
28.7566;26.9000
29.5824;46.9000
27.7882;33.9000
26.6721;21.3000
27.5354;23.3000
26.2436;30.4000
30.9875;32.5000
30.0601;16.9000
29.0298;33.3000
32.9947;43.5000
31.8357;34.0000
33.4593;33.0000
25.2681;24.7000
27.4622;42.4000
33.0677;27.3000
31.3523;34.8000
33.8402;53.7000
34.8284;30.2000
29.5839;31.2000
29.0190;19.3000
33.9752;30.1000
29.9463;31.6000
31.7269;27.0000
31.5298;37.0000
32.5351;26.7000
30.8561;33.6000
29.8901;18.0000
30.7621;38.8000
31.8482;27.2000
31.8343;39.4000
31.6113;33.2000
32.1990;34.9000
30.1298;30.7000
30.8425;36.7000
30.5939;28.1000
30.9791;30.1000
31.6773;16.3000
30.2697;17.1000
30.6685;28.1000
30.3598;38.8000
31.4170;40.9000
30.0381;37.0000
30.0687;28.2000
31.0118;37.0000
30.0101;31.8000
28.1661;19.6000
30.9410;27.1000
30.0101;34.9000
31.3237;39.3000
30.7453;35.9000
30.2633;38.1000
30.8760;32.8000
29.9601;41.6000
29.2353;46.4000
29.1927;34.0000
29.2417;35.2000
27.9520;20.6000
25.9899;23.6000
27.8478;27.9000
26.3035;27.5000
27.3801;32.3000
28.7198;27.5000
26.0523;22.0000
30.2368;31.0000
25.7231;28.8000
27.6530;32.7000
28.1012;29.9000
27.7616;32.0000
27.1430;26.6000
26.8882;28.2000
27.0822;40.1000
24.6884;24.5000
26.4059;22.3000
26.6401;26.2000
19.9280;12.0000
27.3142;29.3000
28.1973;23.6000
27.3899;33.5000
26.0743;29.8000
27.7670;28.6000
29.9859;31.2000
28.9707;39.1000
26.5617;31.1000
26.6882;29.6000
24.4160;11.1000
28.9531;28.3000
27.5770;32.3000
27.7524;26.3000
28.1012;22.2000
27.2218;27.6000
25.3475;24.7000
26.4789;43.3000
27.1232;26.5000
26.3003;26.6000
24.1675;3.0000
26.7313;26.8000
28.8687;29.7000
29.8360;31.7000
27.6697;30.8000
28.9218;32.6000
27.3939;30.8000
27.7042;33.9000
25.9578;31.8000
31.9754;32.7000
24.9653;21.4000
27.3032;27.6000
29.1851;16.5000
29.3692;29.3000
16.8599;20.8000
17.6485;15.0000
20.6661;23.1000
21.0901;19.3000
17.2689;14.3000
18.0377;17.2000
16.8381;11.2000
16.6331;11.2000
16.6962;12.5000
20.0379;22.1000
30.3173;31.3000
20.8259;27.9000
32.3015;25.0000
29.7542;25.3000
32.3411;50.1000
30.7227;29.8000
30.7503;27.3000
29.9941;29.6000
31.4400;24.6000
29.6272;36.9000
30.4481;23.3000
26.0996;29.4000
27.6670;35.3000
27.7834;28.3000
25.8967;25.6000
27.3766;31.5000
31.2551;35.7000
27.6917;34.0000
31.7608;27.6000
27.7834;28.7000
29.8831;24.5000
30.4061;30.5000
26.0792;28.9000
24.5096;22.3000
26.4830;18.8000
31.2241;35.9000
30.2994;29.3000
28.5457;32.7000
28.4647;28.1000
27.6290;37.1000
28.9413;18.2000
28.2906;31.3000
28.8556;31.7000
28.5463;27.4000
28.6617;31.0000
28.6283;25.9000
28.6007;29.1000
27.3766;30.1000
