type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
3,23,242,1,1,31,1,20
3,23,239,1,3,30,1,26.3
3,23,231,1,1,30,1,23.5
3,23,219,1,1,30,1,26.9
3,23,222,1,2,31,1,23.8
3,22,206,1,1,29,1,23.1
3,22,183,1,1,28,1,23.6
3,23,157,1,2,28,1,23.4
3,23,150,1,1,28,1,24.2
3,23,172,1,3,28,1,32.9
3,23,237,1,2,31,0,21.8
3,23,239,1,1,31,0,24.8
3,24,222,1,2,31,0,27.8
3,23,233,1,1,31,0,26.2
3,23,220,1,1,31,0,19.6
3,23,240,1,1,30,0,32.5
3,23,211,1,4,30,0,26.6
3,23,233,1,1,30,0,32
3,23,224,1,1,30,0,24.1
3,22,241,1,1,30,0,25.2
3,23,221,1,1,30,0,15.2
3,22,229,1,3,30,0,37.4
3,23,207,1,2,30,0,29.4
3,22,222,1,3,30,0,25.2
3,22,233,1,2,29,0,19.2
3,22,224,1,1,29,0,26.2
3,22,214,1,1,29,0,31.2
3,22,29,1,0,23,0,21.9
3,21,233,1,4,29,0,36.5
3,22,207,1,1,29,0,30.6
3,22,209,1,1,29,0,30
3,24,137,1,2,29,0,27.8
3,21,233,1,5,29,0,23
3,22,203,1,1,29,0,29.4
3,22,207,1,1,28,0,34.7
3,24,121,1,1,28,0,26.9
3,25,96,1,1,28,0,29.8
3,24,113,1,1,28,0,31
3,23,139,1,2,28,0,17.7
3,23,142,1,1,28,0,24.5
3,24,72,1,0,27,0,14
3,25,75,1,0,27,0,23.9
3,24,99,1,1,27,0,26.3
3,24,99,1,1,27,0,32.3
3,23,141,1,2,27,0,31.3
3,23,110,1,1,27,0,29.2
3,23,122,1,2,27,0,23.1
3,23,108,1,1,27,0,30.9
3,24,81,1,0,27,0,26.2
3,23,98,1,1,27,0,28.8
3,25,64,1,0,27,0,26.9
3,23,110,1,1,27,0,30.4
3,25,60,1,0,27,0,26.7
3,22,121,1,1,26,0,24.2
3,17,272,1,4,26,0,35.9
3,22,140,1,1,26,0,31.9
3,23,114,1,1,26,0,27.2
3,22,119,1,2,26,0,31
3,21,140,1,1,26,0,24.8
3,24,60,1,0,26,0,25.8
2,25,53,3,0,50,1,34.6
2,25,67,3,0,51,1,50.6
2,22,13,3,0,48,1,36.5
2,23,46,3,0,49,1,40.9
2,23,16,3,0,49,1,33.4
2,24,30,3,0,50,1,31.3
2,24,52,3,0,49,1,44.7
2,27,292,3,2,61,0,27.2
2,24,281,3,1,61,0,22.3
2,24,303,3,10,61,0,25.7
2,23,334,3,3,61,0,23.5
2,25,307,3,6,61,0,25.4
2,26,296,3,3,61,0,15.2
2,24,201,3,5,60,0,19.2
2,24,378,3,3,60,0,19.3
2,25,311,3,7,60,0,14.6
2,23,118,3,2,54,0,37.8
2,25,313,3,1,60,0,20
2,24,207,3,2,59,0,15.3
2,24,124,3,2,59,0,34.8
2,23,262,3,1,59,0,29.5
2,22,252,3,0,59,0,19.9
2,26,73,3,1,52,0,29.1
2,23,276,3,1,60,0,21.9
2,24,118,3,2,60,0,32.3
2,26,277,3,1,60,0,31.8
2,26,120,3,1,60,0,49.8
2,24,311,3,2,60,0,23.4
2,24,67,3,0,52,0,36.4
2,24,170,3,4,58,0,42.4
2,23,83,3,0,59,0,30.8
2,24,253,3,1,56,0,28.8
2,24,294,3,2,59,0,24.6
2,24,174,3,3,59,0,24.8
2,24,16,3,0,59,0,24.3
2,24,299,3,2,59,0,37.1
2,24,67,3,0,58,0,28.8
2,25,211,3,2,58,0,28.2
2,29,24,3,0,57,0,27.9
2,27,185,3,1,56,0,33
2,23,269,3,3,56,0,35.5
2,26,90,3,1,56,0,37.2
2,25,171,3,4,54,0,13.4
2,25,55,3,0,53,0,22.2
2,24,61,3,0,53,0,46
2,24,57,3,0,52,0,33.9
2,25,20,3,0,52,0,35.4
2,26,70,3,0,52,0,31.4
2,24,45,3,0,50,0,37.9
2,24,179,3,2,51,0,34.9
2,24,50,3,0,51,0,29.4
2,24,126,3,2,50,0,36.1
2,22,135,3,2,50,0,45.6
2,25,43,3,0,50,0,44.9
2,24,22,3,0,50,0,40.7
2,23,23,3,0,49,0,43.4
2,22,138,3,3,48,0,40.6
2,24,324,2,2,49,1,29.9
2,25,342,2,3,50,1,30.2
2,23,369,2,2,48,1,23.5
2,23,342,2,2,49,1,28
2,24,313,2,2,50,1,23.4
2,25,127,2,2,44,1,29.7
2,22,362,2,2,48,1,17.2
2,26,320,2,4,51,1,23
2,25,374,2,8,50,1,26.5
2,23,288,2,1,49,1,23.4
2,24,50,2,0,42,1,29.2
2,24,331,2,3,50,1,31.6
2,25,341,2,6,49,1,26.3
2,23,249,2,3,42,1,32.6
